route_code,cyclenumber,unlockedat,unlockedattime,lockedat,lockedattime,startstationname,endstationname,rfidnumber,length,DurationMinutes,CycleType,costs,Membership
1563484380504,2631,2019-07-19,00:13:00,2019-07-19,00:17:18,Uueturu,AHHAA,Mobile App,0.72,4.31,Bike,0.0,Free Membership (with bus card)
1563484388034,2341,2019-07-19,00:13:08,2019-07-19,00:23:01,K. E. von Baeri,Kannikese,Mobile App,2.39,9.89,Pedelec,0.0,3 month free membership
1563484391883,2065,2019-07-19,00:13:11,2019-07-19,01:08:19,Aura veekeskus,Ihaste,RFID Card,9.48,55.12,Pedelec,0.0,Free Membership (with bus card)
1563484392060,2316,2019-07-19,00:13:12,2019-07-19,00:23:29,Raatuse,Papli,Mobile App,2.52,10.29,Pedelec,0.0,Free Membership (with bus card)
1563484404639,2625,2019-07-19,00:13:24,2019-07-19,00:23:31,Raatuse,Papli,Mobile App,2.51,10.12,Bike,0.0,3-Month Free Membership
1563484407345,2378,2019-07-19,00:13:27,2019-07-19,00:16:58,Kaunase puiestee,Kivilinna,Mobile App,0.92,3.53,Pedelec,0.0,3 month free membership
1563484433375,2303,2019-07-19,00:13:53,2019-07-19,01:07:16,Aura veekeskus,Mõisavahe,Mobile App,6.76,53.38,Pedelec,0.0,1 Year Membership
1563484460831,2262,2019-07-19,00:14:20,2019-07-19,00:39:54,Aparaaditehas,Kopli,RFID Card,2.75,25.57,Pedelec,0.0,3-Month Free Membership
1563484463344,2226,2019-07-19,00:14:23,2019-07-19,00:33:27,ERM,Roosi,RFID Card,1.59,19.08,Pedelec,0.0,1-month Free Membership
1563484470675,2749,2019-07-19,00:14:30,2019-07-19,00:19:08,Anne saun,Kalda tee,RFID Card,0.59,4.64,Bike,0.0,1 Year Membership
1563484482228,2684,2019-07-19,00:14:42,2019-07-19,00:19:19,Anne saun,Kalda tee,Mobile App,0.57,4.62,Bike,0.0,Free Membership (with bus card)
1563484482984,2198,2019-07-19,00:14:42,2019-07-19,00:26:50,Kannikese,Magistri,Mobile App,3.2,12.12,Pedelec,0.0,3 month free membership
1563484484132,2445,2019-07-19,00:14:44,2019-07-19,00:30:11,Näituse,Raudteejaam,Mobile App,2.67,15.46,Pedelec,0.0,3-Month Free Membership
1563484500096,2322,2019-07-19,00:15:00,2019-07-19,00:34:57,ERM,Orava,RFID Card,1.27,19.96,Pedelec,0.0,Free Membership (with bus card)
1563484552099,2504,2019-07-19,00:15:52,2019-07-19,00:26:25,Roosi,Uueturu,Mobile App,0.83,10.55,Pedelec,0.0,1 WEEK MEMBERSHIP
1563484553675,2167,2019-07-19,00:15:53,2019-07-19,00:50:30,Papli,Undetermined,RFID Card,0.0,34.62,Pedelec,0.0,3-Month Free Membership
1563484575105,2272,2019-07-19,00:16:15,2019-07-19,01:11:37,Ülejõe park,Raatuse kool,Mobile App,1.07,55.38,Pedelec,0.0,1-month Free Membership
1563484577068,2428,2019-07-19,00:16:17,2019-07-19,00:30:03,Näituse,Raudteejaam,Mobile App,1.41,13.78,Pedelec,0.0,3 month free membership
1563484599795,2637,2019-07-19,00:16:39,2019-07-19,00:53:13,Roosi,Annelinna kiir,Mobile App,3.93,36.55,Bike,0.0,3-Month Free Membership
1563484614601,2455,2019-07-19,00:16:54,2019-07-19,00:44:31,ERM,Tamme gümnaasium,Mobile App,5.94,27.61,Pedelec,0.0,1 Day Membership
1563484615407,2374,2019-07-19,00:16:55,2019-07-19,00:49:22,Papli,Undetermined,Mobile App,2.86,32.46,Pedelec,0.0,3 month free membership
1563484668815,2673,2019-07-19,00:17:48,2019-07-19,00:28:50,Ülejõe park,Anne saun,Mobile App,2.01,11.03,Bike,0.0,3 month free membership
1563484673736,2119,2019-07-19,00:17:53,2019-07-19,00:36:23,AHHAA,Karete,Mobile App,4.05,18.5,Pedelec,0.0,Free Membership (with bus card)
1563484707066,2655,2019-07-19,00:18:27,2019-07-19,01:11:35,ERM,Kivilinna,Mobile App,3.13,53.14,Bike,0.0,1 month free membership
1563484722593,2134,2019-07-19,00:18:42,2019-07-19,00:37:09,Rüütli,Riiamäe,Mobile App,2.59,18.44,Pedelec,0.0,3-Month Free Membership
1563484722940,2333,2019-07-19,00:18:42,2019-07-19,00:29:42,Aparaaditehas,Tamme kool,Mobile App,1.81,10.99,Pedelec,0.0,3 month free membership
1563484728519,2483,2019-07-19,00:18:48,2019-07-19,00:21:28,Annelinna gümnaasium,Annelinna kiir,Mobile App,0.61,2.66,Pedelec,0.0,1-month Free Membership
1563484735982,2321,2019-07-19,00:18:55,2019-07-19,00:30:16,Raatuse,Raatuse,RFID Card,0.01,11.34,Pedelec,0.0,Free Membership (with bus card)
1563484739334,2124,2019-07-19,00:18:59,2019-07-19,01:17:21,Annelinn,Annelinna kiir,Mobile App,3.56,58.37,Pedelec,0.0,Free Membership (with bus card)
1563484743844,2790,2019-07-19,00:19:03,2019-07-19,00:23:41,Uueturu,Riiamäe,Mobile App,0.6,4.62,Bike,0.0,3 month free membership
1563484748595,2241,2019-07-19,00:19:08,2019-07-19,00:29:28,Aparaaditehas,Tamme kool,Mobile App,1.82,10.33,Pedelec,0.0,3 month free membership
1563484755607,2127,2019-07-19,00:19:15,2019-07-19,00:21:17,Raatuse,Raatuse kool,Mobile App,0.31,2.04,Pedelec,0.0,3 month free membership
1563484781413,2718,2019-07-19,00:19:41,2019-07-19,00:33:32,Tähtvere spordipark,Uueturu,Mobile App,2.23,13.85,Bike,0.0,Free Membership (with bus card)
1563484787790,2570,2019-07-19,00:19:47,2019-07-19,00:25:30,Vabadussild,Magistri,Mobile App,0.66,5.71,Bike,0.0,3 month free membership
1563484792858,2566,2019-07-19,00:19:52,2019-07-19,00:27:12,Vabadussild,Magistri,Mobile App,0.83,7.33,Bike,0.0,3 month free membership
1563484808228,2720,2019-07-19,00:20:08,2019-07-19,00:33:45,Tähtvere spordipark,Uueturu,Mobile App,2.27,13.62,Bike,0.0,3 month free membership
1563484812319,2608,2019-07-19,00:20:12,2019-07-19,00:35:23,Vabadussild,Kalda tee,RFID Card,2.82,15.19,Bike,0.0,3-Month Free Membership
1563484831099,2296,2019-07-19,00:20:31,2019-07-19,00:45:53,Põllu,Kvissentali,Mobile App,2.31,25.38,Pedelec,0.0,3 month free membership
1563484831998,2230,2019-07-19,00:20:31,2019-07-19,01:08:23,Vabadussild,Ihaste,Mobile App,9.9,47.86,Pedelec,0.0,3 month free membership
1563484837901,2526,2019-07-19,00:20:37,2019-07-19,00:49:16,Tähtvere spordipark,AHHAA,Mobile App,3.25,28.65,Pedelec,0.0,Free Membership (with bus card)
1563484838109,2474,2019-07-19,00:20:38,2019-07-19,00:57:54,Veeriku,Veeriku,RFID Card,5.45,37.27,Pedelec,0.0,Free Membership (with bus card)
1563484878655,2558,2019-07-19,00:21:18,2019-07-19,00:33:31,Tähtvere spordipark,Uueturu,Mobile App,2.2,12.21,Bike,0.0,3-Month Free Membership
1563484883689,2392,2019-07-19,00:21:23,2019-07-19,01:24:44,Kvissentali,Postimaja,Mobile App,9.79,63.35,Pedelec,1.0,3 month free membership
1563484890066,2140,2019-07-19,00:21:30,2019-07-19,01:20:20,Kvissentali,Tulbi,Mobile App,7.88,58.84,Pedelec,0.0,3-Month Free Membership
1563484974762,2177,2019-07-19,00:22:54,2019-07-19,00:43:02,ERM,Tamme staadion,Mobile App,4.7,20.13,Pedelec,0.0,3 month free membership
1563484986512,2424,2019-07-19,00:23:06,2019-07-19,00:42:34,Pirogovi plats,Ränilinn,Mobile App,4.96,19.47,Pedelec,0.0,3 month free membership
1563485030863,2252,2019-07-19,00:23:50,2019-07-19,01:06:22,Annelinna keskus,Postimaja,RFID Card,7.33,42.53,Pedelec,0.0,Free Membership (with bus card)
1563485053461,2433,2019-07-19,00:24:13,2019-07-19,00:41:48,Riiamäe,Rahu,Mobile App,2.52,17.58,Pedelec,0.0,3 month free membership
1563485063010,2127,2019-07-19,00:24:23,2019-07-19,00:38:33,Raatuse kool,Tamme kool,Mobile App,4.3,14.17,Pedelec,0.0,1 YEAR MEMBERSHIP
1563485068006,2245,2019-07-19,00:24:28,2019-07-19,00:34:36,Annelinna keskus,Annelinna keskus,Mobile App,1.72,10.14,Pedelec,0.0,Free Membership (with bus card)
1563485069145,2246,2019-07-19,00:24:29,2019-07-19,00:44:00,Kaare,J. Hurda,Mobile App,2.66,19.52,Pedelec,0.0,3 month free membership
1563485069969,2332,2019-07-19,00:24:29,2019-07-19,01:20:35,Ülejõe park,Kivilinna,Mobile App,8.28,56.09,Pedelec,0.0,3-Month Free Membership
1563485100509,2620,2019-07-19,00:25:00,2019-07-19,00:42:47,Aura veekeskus,Veeriku,RFID Card,3.31,17.79,Pedelec,0.0,Free Membership (with bus card)
1563485147909,2238,2019-07-19,00:25:47,2019-07-19,00:41:30,Aura veekeskus,Annelinna kiir,Mobile App,3.5,15.72,Pedelec,0.0,3 month free membership
1563485149826,2665,2019-07-19,00:25:49,2019-07-19,00:31:56,Aura veekeskus,Sõpruse sild,Mobile App,0.93,6.11,Bike,0.0,3 month free membership
1563485155235,2792,2019-07-19,00:25:55,2019-07-19,00:36:29,Raja,Aparaaditehas,Mobile App,2.46,10.57,Bike,0.0,3-Month Free Membership
1563485176221,2643,2019-07-19,00:26:16,2019-07-19,00:35:09,Ülejõe park,Raudteejaam,Mobile App,1.95,8.89,Bike,0.0,1 month free membership
1563485181301,2588,2019-07-19,00:26:21,2019-07-19,00:52:42,Ülejõe park,Karete,Mobile App,5.56,26.35,Bike,0.0,1 month free membership
1563485185125,2646,2019-07-19,00:26:25,2019-07-19,00:27:23,Magistri,Magistri,Mobile App,0.01,0.97,Bike,0.0,3 month free membership
1563485192047,2779,2019-07-19,00:26:32,2019-07-19,00:47:54,Ülejõe park,Postimaja,RFID Card,5.11,21.37,Bike,0.0,3-Month Free Membership
1563485199339,2506,2019-07-19,00:26:39,2019-07-19,00:46:25,Sõbra,Kopli,RFID Card,2.52,19.78,Pedelec,0.0,Free Membership (with bus card)
1563485207539,2056,2019-07-19,00:26:47,2019-07-19,00:47:56,ERM,Annelinna gümnaasium,Mobile App,3.72,21.15,Pedelec,0.0,1 DAY MEMBERSHIP
1563485208852,2242,2019-07-19,00:26:48,2019-07-19,00:32:16,Aura veekeskus,Sõpruse sild,Mobile App,0.91,5.46,Pedelec,0.0,3-Month Free Membership
1563485247849,2531,2019-07-19,00:27:27,2019-07-19,00:45:22,Põllu,Turusild,Mobile App,3.52,17.91,Pedelec,0.0,3 month free membership
1563485250202,2198,2019-07-19,00:27:30,2019-07-19,01:16:33,Magistri,Kuu,Mobile App,3.1,49.05,Pedelec,0.0,3 month free membership
1563485264820,2523,2019-07-19,00:27:44,2019-07-19,00:54:25,Anne saun,Papli,Mobile App,2.3,26.68,Pedelec,0.0,Free Membership (with bus card)
1563485267288,2692,2019-07-19,00:27:47,2019-07-19,00:52:44,Ülejõe park,Karete,Mobile App,5.63,24.96,Bike,0.0,3 month free membership
1563485303118,2446,2019-07-19,00:28:23,2019-07-19,01:05:56,Kvissentali,Uueturu,Mobile App,5.11,37.56,Pedelec,0.0,3 month free membership
1563485317117,2180,2019-07-19,00:28:37,2019-07-19,00:51:48,Roosi,Kannikese,Mobile App,3.94,23.19,Pedelec,0.0,1 Day Membership
1563485324231,2131,2019-07-19,00:28:44,2019-07-19,01:05:43,Kvissentali,Uueturu,Mobile App,5.82,36.98,Pedelec,0.0,3 month free membership
1563485358780,2305,2019-07-19,00:29:18,2019-07-19,01:16:15,Magistri,Kuu,Mobile App,2.89,46.94,Pedelec,0.0,3 month free membership
1563485366182,2165,2019-07-19,00:29:26,2019-07-19,00:41:58,Pirogovi plats,Näituse,Mobile App,1.1,12.55,Pedelec,0.0,3 month free membership
1563485384098,2645,2019-07-19,00:29:44,2019-07-19,00:36:40,Pirogovi plats,Näituse,Mobile App,0.89,6.93,Bike,0.0,3 month free membership
1563485393098,2418,2019-07-19,00:29:53,2019-07-19,00:38:04,Vahi,Kvissentali,Mobile App,1.95,8.2,Pedelec,0.0,3-Month Free Membership
1563485406816,2266,2019-07-19,00:30:06,2019-07-19,00:43:46,Ülejõe park,Aura veekeskus,Mobile App,1.24,13.66,Pedelec,0.0,1 DAY MEMBERSHIP
1563485410323,2504,2019-07-19,00:30:10,2019-07-19,00:42:03,Uueturu,Tamme gümnaasium,Mobile App,3.06,11.88,Pedelec,0.0,Free Membership (with bus card)
1563485415413,2791,2019-07-19,00:30:15,2019-07-19,00:38:07,Pirogovi plats,Veeriku,Mobile App,1.74,7.88,Bike,0.0,3-Month Free Membership
1563485417623,2423,2019-07-19,00:30:17,2019-07-19,00:56:43,Vahi,Kannikese,Mobile App,7.99,26.43,Pedelec,0.0,3 month free membership
1563485422910,2580,2019-07-19,00:30:22,2019-07-19,00:42:37,Vabadussild,Raudteejaam,Mobile App,2.33,12.25,Bike,0.0,3-Month Free Membership
1563485430888,2110,2019-07-19,00:30:30,2019-07-19,00:36:28,J. Hurda,Torni,Mobile App,0.95,5.96,Pedelec,0.0,3-Month Free Membership
1563485435395,2054,2019-07-19,00:30:35,2019-07-19,01:02:22,Rüütli,Ihaste,Mobile App,6.9,31.79,Pedelec,0.0,Free Membership (with bus card)
1563485445285,2271,2019-07-19,00:30:45,2019-07-19,00:41:42,Kaare,Kannikese,RFID Card,2.13,10.96,Pedelec,0.0,Free Membership (with bus card)
1563485462861,2732,2019-07-19,00:31:02,2019-07-19,00:43:34,Ülejõe park,Aura veekeskus,Mobile App,1.29,12.52,Bike,0.0,1 DAY MEMBERSHIP
1563485507634,2128,2019-07-19,00:31:47,2019-07-19,00:39:38,Turusild,Turusild,Mobile App,0.78,7.85,Pedelec,0.0,1-month Free Membership
1563485514068,2601,2019-07-19,00:31:54,2019-07-19,00:55:34,Vabadussild,Viie tee rist,Mobile App,4.34,23.68,Bike,0.0,3 month free membership
1563485519747,2383,2019-07-19,00:31:59,2019-07-19,01:01:27,Annelinna kiir,Annelinna kiir,RFID Card,4.09,29.46,Pedelec,0.0,Free Membership (with bus card)
1563485527872,2527,2019-07-19,00:32:07,2019-07-19,01:56:37,Annelinna kiir,Annelinna kiir,RFID Card,7.01,84.49,Pedelec,1.0,Free Membership (with bus card)
1563485528802,2494,2019-07-19,00:32:08,2019-07-19,00:43:24,Sõbra,Aparaaditehas,RFID Card,0.75,11.26,Pedelec,0.0,Free Membership (with bus card)
1563485528957,2442,2019-07-19,00:32:08,2019-07-19,00:42:50,Uueturu,TÜ raamatukogu,RFID Card,1.61,10.69,Pedelec,0.0,3-Month Free Membership
1563485531158,2207,2019-07-19,00:32:11,2019-07-19,01:03:58,Raudteejaam,Raudteejaam,RFID Card,2.44,31.79,Pedelec,0.0,Free Membership (with bus card)
1563485543483,2181,2019-07-19,00:32:23,2019-07-19,00:58:02,Annelinna kiir,Kivilinna,RFID Card,4.25,25.65,Pedelec,0.0,Free Membership (with bus card)
1563485572140,2673,2019-07-19,00:32:52,2019-07-19,00:38:03,Anne saun,Annelinn,Mobile App,0.8,5.19,Bike,0.0,1 YEAR MEMBERSHIP
1563485577548,2199,2019-07-19,00:32:57,2019-07-19,00:42:07,Kuu,Uueturu,Mobile App,1.56,9.17,Pedelec,0.0,3 month free membership
1563485616311,2513,2019-07-19,00:33:36,2019-07-19,00:55:06,Annelinna kiir,Ihaste,Mobile App,4.65,21.51,Bike,0.0,1 YEAR MEMBERSHIP
1563485636571,2546,2019-07-19,00:33:56,2019-07-19,00:43:01+00,Uueturu,Kuu,Mobile App,1.62,9.07,Bike,0.0,1 month free membership
1563485636865,2731,2019-07-19,00:33:56,2019-07-19,00:42:42,Uueturu,Kuu,Mobile App,1.65,8.76,Bike,0.0,1-month Free Membership
1563485655226,2718,2019-07-19,00:34:15,2019-07-19,00:49:21,Uueturu,AHHAA,Mobile App,0.96,15.11,Bike,0.0,Free Membership (with bus card)
1563485663674,2784,2019-07-19,00:34:23,2019-07-19,00:40:27,Uueturu,Riiamäe,RFID Card,0.61,6.06,Bike,0.0,3-Month Free Membership
1563485671015,2720,2019-07-19,00:34:31,2019-07-19,00:41:00,Uueturu,Riiamäe,RFID Card,0.59,6.49,Bike,0.0,3-Month Free Membership
1563485673053,2059,2019-07-19,00:34:33,2019-07-19,01:00:17,Raatuse kool,Ihaste,Mobile App,6.2,25.75,Pedelec,0.0,1-month Free Membership
1563485699214,2501,2019-07-19,00:34:59,2019-07-19,00:39:29,Vahi,Põllu,Mobile App,0.65,4.5,Pedelec,0.0,3-Month Free Membership
1563485703220,2077,2019-07-19,00:35:03,2019-07-19,00:39:08,Annelinn,Annelinna kiir,Mobile App,0.85,4.09,Pedelec,0.0,3-Month Free Membership
1563485703802,2321,2019-07-19,00:35:03,2019-07-19,00:49:16,Raatuse,Vanemuise park,Mobile App,1.78,14.22,Pedelec,0.0,3-Month Free Membership
1563485711456,2677,2019-07-19,00:35:11,2019-07-19,00:43:38,Uueturu,Aparaaditehas,Mobile App,1.2,8.45,Pedelec,0.0,1 Year Membership
1563485715887,2142,2019-07-19,00:35:15,2019-07-19,00:39:22,Annelinn,Annelinna kiir,Mobile App,0.83,4.11,Pedelec,0.0,3 month free membership
1563485719843,2292,2019-07-19,00:35:19,2019-07-19,00:50:01,Raatuse,Uueturu,Mobile App,0.84,14.69,Pedelec,0.0,1-month Free Membership
1563485727458,2558,2019-07-19,00:35:27,2019-07-19,00:49:19,Uueturu,AHHAA,Mobile App,1.11,13.86,Bike,0.0,3-Month Free Membership
1563485732680,2430,2019-07-19,00:35:32,2019-07-19,00:50:23,Karete,Karete,Mobile App,2.43,14.85,Pedelec,0.0,3-Month Free Membership
1563485744329,2370,2019-07-19,00:35:44,2019-07-19,00:58:29,Anne saun,Kaunase puiestee,Mobile App,3.76,22.76,Pedelec,0.0,1 month free membership
1563485755037,2540,2019-07-19,00:35:55,2019-07-19,00:55:32,Ülejõe park,Tamme gümnaasium,Mobile App,3.61,19.62,Pedelec,0.0,1 Year Membership
1563485776866,2687,2019-07-19,00:36:16,2019-07-19,00:39:34,Vahi,Põllu,Mobile App,0.66,3.3,Bike,0.0,3-Month Free Membership
1563485790790,2322,2019-07-19,00:36:30,2019-07-19,00:57:37,Orava,Magistri,Mobile App,1.86,21.11,Pedelec,0.0,3 month free membership
1563485823891,2352,2019-07-19,00:37:03,2019-07-19,00:39:32,Aparaaditehas,Riiamäe,Mobile App,0.64,2.48,Pedelec,0.0,3-Month Free Membership
